image_name,angle,distance,,Ground_truth_angle,Ground_truth_distance,,square error,,,,
152,0.235967067,-144.4555071,,-22.405,-8.881,,22.64096707,135.5745071,,18380.44698,
154,-7.740215415,59.79371815,,19.578,104.325,,27.31821542,44.53128185,,1983.035063,
155,16.69766106,3.068153648,,1.922,64.506,,14.77566106,61.43784635,,3774.608964,
156,5.523710832,145.800792,,-26.12,-30.626,,31.64371083,176.426792,,31126.41294,
157,-5.715248419,-9.959929565,,16.295,4.031,,22.01024842,13.99092957,,195.7461101,
159,10.49219856,57.0041182,,5.511,26.116,,4.98119856,30.8881182,,954.0758459,
160,-7.526187908,29.93117845,,-19.995,-56.551,,12.46881209,86.48217845,,7479.167189,
161,-1.453480441,89.43524571,,20.863,83.474,,22.31648044,5.96124571,,35.53645041,
167,7.564343075,13.7429226,,1.01,12.141,,6.554343075,1.6019226,,2.566156016,
168,-12.67824705,34.12221314,,-15.497,-16.974,,2.81875295,51.09621314,,2610.822997,
169,9.23115411,136.9464743,,15.089,54.053,,5.85784589,82.8934743,,6871.328082,
,,,,,,,,,,,
,,,,,,,8.886010629,80.07326606,,19827.87981,140.8115045
,,,,,,,angle,mm,,,
